YEAR2,STOP_LOCATION_PRECINCT,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,OBSERVED_DURATION_MINUTES,STOP_DURATION_MINUTES,OFFICER_IN_UNIFORM_FLAG,FRISKED_FLAG,STOP_WAS_INITIATED,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_REPORTED_AGE,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,WEAPON_FOUND_FLAG,SUSPECT_HEIGHT,MONTH2,DAY2,STOP_FRISK_TIME
2015,75,I,P,1.0,5.0,Y,N,N,F,HISPANIC,42.0,150.0,M,N,5.083333333333333,1.0,5.0,1.9166666666666665
2015,75,I,P,1.0,5.0,Y,Y,N,M,HISPANIC,20.0,120.0,T,N,5.333333333333333,1.0,5.0,1.9166666666666665
2015,75,I,P,1.0,5.0,Y,Y,N,M,HISPANIC,48.0,325.0,H,N,5.916666666666667,1.0,5.0,1.9166666666666665
2015,41,O,P,1.0,2.0,N,Y,N,M,HISPANIC,48.0,230.0,H,N,5.5,1.0,5.0,2.0
2015,41,O,P,2.0,2.0,N,Y,N,M,HISPANIC,16.0,150.0,T,N,5.5,1.0,5.0,2.5
2015,79,O,H,1.0,2.0,Y,Y,N,M,BLACK,19.0,180.0,M,N,6.083333333333333,1.0,5.0,2.1666666666666665
2015,79,O,P,1.0,5.0,N,Y,N,M,BLACK,22.0,195.0,T,N,5.75,1.0,5.0,2.25
2015,49,O,P,1.0,2.0,Y,Y,Y,M,HISPANIC,20.0,220.0,H,N,6.0,1.0,5.0,2.4166666666666665
2015,81,O,P,1.0,2.0,N,Y,N,M,BLACK,16.0,160.0,T,N,5.666666666666667,2.0,1.0,15.25
2015,66,O,P,1.0,10.0,N,Y,N,M,HISPANIC,32.0,160.0,M,N,5.083333333333333,2.0,1.0,1.8333333333333335
2015,46,O,P,1.0,5.0,Y,Y,Y,M,BLACK,15.0,160.0,T,N,5.833333333333333,2.0,1.0,1.0166666666666666
2015,46,O,P,1.0,5.0,Y,Y,Y,M,HISPANIC,20.0,220.0,H,N,5.583333333333333,2.0,1.0,1.0166666666666666
2015,46,O,P,1.0,5.0,Y,Y,Y,Z,BLACK,18.0,170.0,T,N,5.75,2.0,1.0,1.0166666666666666
2015,25,O,P,1.0,20.0,Y,Y,Y,M,HISPANIC,23.0,130.0,T,N,5.416666666666667,2.0,1.0,2.1666666666666665
2015,44,O,P,1.0,1.0,N,Y,N,M,BLACK,17.0,150.0,M,N,5.75,2.0,1.0,2.5
2015,44,O,P,1.0,3.0,N,Y,N,M,HISPANIC,17.0,170.0,T,N,5.75,2.0,1.0,2.0
2015,73,I,H,1.0,12.0,Y,Y,Y,M,BLACK,16.0,150.0,T,N,5.666666666666667,2.0,1.0,2.95
2015,73,I,H,1.0,2.0,Y,Y,N,M,BLACK,19.0,150.0,T,N,5.5,2.0,1.0,2.0
2015,46,O,P,2.0,8.0,N,Y,N,M,BLACK,16.0,110.0,T,N,5.416666666666667,2.0,1.0,2.8333333333333335
2015,46,O,P,1.0,1.0,N,Y,N,M,BLACK,18.0,180.0,T,N,6.25,2.0,1.0,2.9166666666666665
